name,Target,Common name / Synonyms,Developer,Clinical domain,Clinical indication,Development status,Monoclonal Antibody (mAb),Linker,Drug/Payload,Cleavage Mechanism/MOA,Notes,References,Clinical Trials,Drug description,Species,Trade/Property Name,Development Technology,International Nonproprietary Name,INN Proposed / List and Year,INN Number,INN Recommended / List and Year,CAS,UNII (FDA),Expression system,Molecular Formula,Molecular Weight,Patents,Regulatory decisions,Origin clone species,NDC Code,Exact Mass,Additional Find Terms,Specificity target name,Molecular Formula: Description,Application,Regulatory agency status and year,Highlight of Prescribing Information,PubChem Structure,MeSH Unique ID,MeSH Heading,Monoisotopic Mass,Molecular Formula: Biological Sequence,Summary of Product Characterization
AGS-16M8F (AGS 16C3F / AGS-16C3F),AGS-16/ENPP3  (Ectonucleotide pyrophosphatase/phosphodiesterase family member 3),,Agensys/Astellas,,Renal Cell Carcinoma / Liver carcinoma / Prostate Cancer,Phase I,,Non-cleavable maleimido-caproyl linker,Monomethyl auristatin F (MMAF),Tubulin polymerase inhibitor; tubulin inhibitor; apoptosis stimulants; mitosis inhibitors.,,,http://adc.expert/1Bh6TR5,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGS62P1,"FLT3 (FMS-like tyrosine kinase 3) a member of the class III receptor tyrosine kinase family, which is highly expressed in the blasts of both AML and ALL patients. ",AGS62P1; AGS 62P1 ,Agensys/Astellas,Oncology,Acute Myelogenous / Myeloid Leukemia (AML),Phase I,An anti-FLT3 monoclonal antibody,Oxime bond to pAF sites,Amberstatin269 | Aurixime,,A site-specific conjugated ADC using the non-natural amino acid p- acetyl phenylalanine. This ADC has an homogeneous drug-to-antibody ratio (DAR) of 2.,,NCT02864290,,Human,,AmbrX technology,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT-P7,HER2; Human epidermal growth factor receptor 2,ALT-P7 ALT-P7 (HM2-MMAE),3SBIO | Alteogen,Oncology,HER2-positive breast cancer; Advanced or refractory breast cancer which is unresponsive to current standard therapy,Phase I,Trastuzumab (biobetter),,,,,,NCT03281824 - https://clinicaltrials.gov/ct2/show/NCT03281824,,,,Alteogen's proprietary NexMab ADC technology,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG 224,BCMA; B-cell maturation antigen which belongs to the tumor necrosis factor receptor family and is expressed on late B-cells and plasma cells.,AMG 224 anti-BCMA–MCC–DM1,Amgen,Oncology Hematology,Relapsed or Refractory (r/r)Multiple Myeloma,Phase I  A first in human phase I multicenter open label study with AMG 224 in patients with relapsed or refractory multiple myeloma. (Update: December 2019).,anti-human BCMA IgG1 antibody,MCC is the noncleavable linker 4-(N-maleimidomethyl) cyclohexane-1-carboxylate conjugated to lysine residues in the antibody,DM1 is a semi-synthetic derivative of the ansamycin antibiotic maytansine conjugated to MCC. ,,In July 2017 Amgen 'deprioritized' AMG 224 based on early data that supports the company's BiTE technology as being superior to Amgen's ADC technologies.,"Lee HC, Raje NS, Landgren O, et al. Phase 1 study of the anti-BCMA antibody-drug conjugate AMG 224 in patients with relapsed/refractory multiple myeloma [published online ahead of print, 2020 Apr 21]. Leukemia. 2020;10.1038/s41375-020-0834-9. doi:10.1038/s41375-020-0834-9  O'Donnell EK, Raje NS. New monoclonal antibodies on the horizon in multiple myeloma. Ther Adv Hematol. 2017;8(2):41-53. doi:10.1177/2040620716682490",A Phase 1 Study in Subjects With Relapsed or Refractory Multiple Myeloma; NCT02561962 https://clinicaltrials.gov/ct2/show/NCT02561962,AMG 224 is an antibody-drug conjugate being investigated for the treatment of multiple myeloma. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG-595,EGFRviii,AMG-595; AMG595,Amgen,Oncology,Glioma (GBM) / Brain cancer,Phase I | Development has been discontinued,,Non-cleavable linker,Maytansine DM1,Tubulin depolymerization ,,,https://adcreview.com/amg-595/,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMG172,CD70 (CD27L); A Type II transmembrane protein and member of the Tumor Necrosis Factor (TNF) family,,"Amgen, Inc",Oncology,Renal Cell Carcinoma (RCC) | Kidney Cancer,Phase I (Completed) (Development Discontinued),,Non-cleavable linker,Maytansine DM1,Tubulin depolymerization  (disrupting microtubule assembly/disassembly dynamics; inhibiting both cell division and proliferation of cancer cells that express CD27L),,,,First-in-Human Study of AMG 172 in Patients with Kidney Cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-001 | YBL-001,Undisclosed,AR-001 | YBK-001,Y-Biologics,Oncology,,Early discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARX517-PSMA-ADC,PSMA; Prostrate-specific membrane antigen,ARX517-PSMA-ADC; ARX517; anti-PSMA ADC,Ambrx,Oncology,,Preclinical,,Site-specific,Proprietary drug payload ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARX788 HER2 ADC | ARX788,HER2,ARX788 HER2 ADC; ARX788,Zhejiang Medicine Co. | Ambrx,Oncology,"Solid Tumors (HER2 over-expressing tumors including breast, gastric, colon, pancreatic and ovarian cancers)",Preclinical studies | Phase I ,Engineered IgG1  Modified Trastuzumab with a p-acetylphenylalanine (pAcPhe) residue,A non-natural amino acid linker para-acetyl-phenylalanine (pAcF),Monomethyl Auristatin F (MMAF)  Site-specific conjugation   DAR is 1.9,Cytotoxic tubulin inhibitor,,,NCT02512237 - https://clinicaltrials.gov/ct2/show/NCT02512237  NCT03255070 - https://clinicaltrials.gov/ct2/show/NCT03255070,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASG-22CE,"Nectin 4 (PVRL4, Poliovirus receptor-related 4, nectin-4, nectin 4, PPR4, LNIR) ",,"Astellas Pharma Inc/Agensys, Inc. Seattle Genetics, Inc.",,Metastatic Urothelial Cancer (Solid Tumors),Phase I,,Valine–citrulline,Monomethyl Auristatin E  (MMAE),Enzyme Cleavable,,,http://adc.expert/1DwBRFm,,,--- (INN: Enfortumab Vedotin),,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN-004 (ASN 004),"5T4 (Oncofoetal glycoprotein); TPBG and trophoblast glycoprotein, a 72 kDa glycoprotein member of the LRR family of proteins expressed on trophoblasts, tumor cells, ovarian cuboidal epithelium and embryonic stem cells, and impacts cell adhesion and motility.",ASN-004 ASN004 ASN 004,Asana Biosciences,Oncology,"Solid Tumors (Breast, Lung, Stomach) ",Preclinical;  IND-enabling safety studies in progress.,scFvFc antibody,"Single-chain homo-dimer  antibody,  Fleximer® linker  technology; 3 Fleximer chains per antibody.","Dolaflexin (auristatin) analog, a microtubule disruptor capable of bystander-effect tumor cell killing.  Drug-to-antibody ratio (DAR): ~15",,,,,,,,This investigational ADC incudes Mersana Therapeutics' Fleximer® linker  technology.,,,,,,,,,,,,,,,,,,,,,,,,,,
AVID100,EGFR,AVID100; AVID 100 anti-EGFR ADC,Formation Biologics | Forbius,Oncology,"Solid tumors; Advanced epithelial  carcinomas including tumors resistant to currently approved anti-EGFR therapeutics.  - Solid Tumor,  - Adult Triple Negative Breast Cancer  - Head and Neck Squamous Cell Carcinoma  - Non Small Cell Lung Cancer",Phase I/IIa,anti-EGFR antibody (MAB100),,Microtubule inhibitor Maytansinoid mertansine (DM1),"Following receptor internalization, the mertansine moiety binds to tubulin and interferes with microtubule assembly/disassembly dynamics. This inhibits both cell division and proliferation of cancer cells that express EGFR.",,,NCT03094169 | https://adc.expert/2zE9qcQ,Epidermal growth factor modulators; Epidermal growth factor receptor modulators;  Immunomodulators ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVID300 | AVID 300,"EGF receptor, EGFR, ErbB-1 and HER1 in humans. ",AVID300 | AVID 300,Formation Biologics ,Oncology | Hemtology,,(Early) Discovery | Preclinical,"Panitumumab (ABX-EGF), a fully human monoclonal antibody.",Non-cleavable linker,"DM1 (Mertansine, emtansine), a thiol-containing maytansinoid ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbGn-107 | Ab1-18Hr1,Transferrin receptor protein 1 (CD71) glycotope. ,AbGn-107; Ab1-18Hr1,AbGenomics BV | Taiwan Branch,Oncology,Solid tumors - Colorectal cancer - Pancreatic cancer - Stomach / gastric cancers - Biliary cancer ,Phase I   A phase I study with a standard 3 + 3 dose escalation design with cohort expansion. AbGn-107 will be administered every 14 days (Q2W regimen) or 28 days. Update,IgG1 AG7 targeting CD71 ,Cleavable linker,Tubulin inhibitor DM4,Immunomodulators,,,"A Study of AbGn-107 in Patients With Gastric, Colorectal, Pancreatic or Biliary Cancer - NCT02908451 https://clinicaltrials.gov/ct2/show/NCT02908451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbGn-108,,,AbGenomics International,Oncology,Lung cancer Ovarian cancer,IND-enabling stage ,,,,,,,,https://adcreview.com/abgn-108-drug-description/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbGn-110,HER2,,AbGenomics International ,Oncology,Breast cancer Gastric (stomach) cancer ,Pre-clinical,,Proprietary linker,Biobetter cytotoxic payload,Apoptosis stimulants,,,,https://adcreview.com/abgn-110-drug-description/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinium (225Ac) lintuzumab satetraxetan,"CD33 (sialic acid binding Ig-like lectin 3, SIGLEC3, SIGLEC-3, gp67, p67)",,,Oncology,,,CD33,,Actinium-225 (Ac 225) radiolabelled to satetraxetan (DOTA derivative); average of 1 or 2 lysyl ,,,,,,,,,Actinium (225Ac) lintuzumab satetraxetan ,"121 | 1982 (Vol. 33, No. 2, 2019)",,,,,,,,,,,,,,,,,,,,,,,,
Anetumab Ravtansine | BAY 94-9343,"Mesothelin | MSLN (mesothelin, pre-pro-megakaryocyte-potentiating factor, megakaryocyte potentiating factor, MPF, CAK1) ",BAY 94-9343,Bayer HealthCare Pharmaceuticals in association with  ImmunoGen Inc.,Oncology,Solid tumors / Malignant pleural mesothelioma,Phase I/II This investigational agent is in a Phase II clinical study designed to support registration.,IgG1 - lambda; BAY 86-1903,A reducible SPDB linker [N-succinimidyl 4-(2-pyridyldithio)butanoate] on an average of 3 lysyl,Maytansinoid DM4 (microtubule inhibitor),Tubulin depolymerization,,,https://adcreview.com/anetumab-ravtansine-bay-94-9343-clinical-trials/  NCT02639091 NCT02610140 NCT02751918 NCT02696642 NCT02485119 NCT02824042 NCT01439152 NCT02839681,"https://adcreview.com/anetumab-ravtansine-bay-94-9343-drug-description/  Anetumab Ravtansine, also known as BAY 94-9343, is an anti-MSLN (mesothelin, pre-pro-megakaryocyte-potentiating factor, megakaryocyte potentiating factor, MPF, CAK1)],  monoclonal antibody conjugated to maytansinoid DM4 [N2'-deacetyl-N2'-(4-mercapto-4-methyl-1-oxopentyl)-maytansine] via a reducible SPDB linker [N-succinimidyl 4-(2-pyridyldithio)butanoate].",Homo sapiens,,MorphoSys's HuCAL® phage library,Anetumab Ravtansine,109 / 2013,9788,71 / 2014,1375258-01-7,M170940PMI,CHO-S (Chinese Hamster Ovary) cells suspension culture,,,,,,,,,,,,,,,,,,,
Anetumab corixetan,"MSLN (mesothelin, pre-pro-megakaryocyte-potentiating factor, megakaryocyte-potentiating factor, MPF, CAK1)",,,,,,Immunoglobulin G1-lambda2,,"Chelator corixetan, with anaverage of 0.5 chelator per antibody",,,,,,,,,Anetumab corixetan,"121 | 1982 (Vol. 33, No. 2, 2019)",,,,,"Chinese Hamster Ovary (CHO)-S cell line,",,,,,,,,,,,,,,,,,,,
Anti-ADAM9 ADC (Anti-ADAM9(C442)-DGN549),"ADAM-9; also known as MDC9 or meltrin-γ; A disintegrin and metalloproteinase)-9 is a cell-surface membrane glycoprotein, which enables various roles in a wide range of cellular process. Over-expression of ADAM-9 has been reported in several cancers.",Anti-ADAM9 ADC; Anti-ADAM9(C442)-DGN549,Macrogenics and ImmunoGen,Oncology,ADAM9-expressing tumors; Prostate Cancer; Renal Cell Carcinoma; Pancreatic Cancer,Preclinical,Anti-ADAM9 antibody: AEX6003(S442C),Conjugated to engineered cysteine residues via a cleavable peptide linker.,Indolinobenzodiazepine DNA-alkylating monoimine (DGN549)  Drug-to-antibody ratio:  2,DNA damage results in apoptosis and cell death ,,AACR 2017 Abstract #37 and #38,,,Humanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-ADAM9 ADC (Anti-ADAM9-sulfoSPDB-DM4),"ADAM-9; also known as MDC9 or  meltrin-γ; A disintegrin and metalloproteinase)-9 is a cell-surface membrane glycoprotein, which enables various roles in a wide range of cellular process. Over-expression of ADAM-9 has been reported in several cancers",Anti-ADAM9 ADC; Anti-ADAM9-sulfoSPDB-DM4,Macrogenics and ImmunoGen,Oncology,ADAM9-expressing tumors; Prostate Cancer; Renal Cell Carcinoma; Pancreatic Cancer,Preclinical,Anti-ADAM9 antibody: AEX6003,Lysine-linked via a cleavable sulfo-SPDB linker,Maytansine-derived microtubule  disruptor DM4   Drug-to-antibody ratio of ~3.5,Microtubule disruption leads to  apoptosis and cell death,,,,,Humanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-CD19 ATAC (anti-CD19 ADC),"CD19+; also known  as B-lymphocyte surface antigen B4, B4, CVID; Nalm-6",Anti-CD19 ATAC; Anti-CD19 ADC,Heidelberg Pharma/Wilex,Oncology; Hematology,Burkitt Lymphoma; B-ALL;,Early preclinical,,"Site-specific (THIOMAB™). The THIOMAB platform provides one specific site on each heavy chain (Fab region) for drug attachment. As a result, conjugation of a THIOMAB generates a more homogenous ADC product with a primary DAR close to two. The resulting homogeneity of these ADCs leads to a simplified drug profile and improved therapeutic index.",Maleimide Amanitin ,,,,,,Chimeric,,,,,,,,, Chinese hamster ovary (CHO) ,,,,,,,,,,,,,,,,,,,
Anti-CD22-NMS249,"CD22; a molecule belonging to the SIGLEC family of lectins, found on the surface of mature B cells and to a lesser extent on some immature B cells",anti-CD22-NMS249; anti-CD22 Anthracycline-Based Antibody-Drug Conjugate; Anti-CD22 Anthracycline-Based ADC; ,Genentech and Nerviano Medical Sciences,Oncology; Hematology;,Non-Hodgkin lymphoma (NHL),Proof of concept; Early preclinical,,A protease-cleavable maleimidocaproyl-valine-citrulline-p-aminobenzoyloxycarbonyl linker (MC-vc-PAB).,A anthracycline analogue (PNU-159682),,Proof of concept for an anthracycline-based ADC that could be used to treat B-cell malignancies that are resistant to vc-MMAE conjugates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-CD70-ADC (CD70-ADC),CD70,CD70-ADC; CD70 ADC; anti-CD70 ADC ,Ambrx,Oncology Hematology,Solid Cancer; Renal cell carcinoma (RCC); nasopharyngeal cancers,Preclinical,,Site-specific,Ambrx's proprietary drug payloads ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-ETBR (RG-7636),Endothelin receptor ETB ,,Genentech/Roche,,Melanoma,Phase I,,Peptide linker (Seattle Genetics),Monomethyl auristatin E (MMAE),Protease Cleavable (Microtubule disruption),,,https://adcreview.com/dedn6526a-rg7636/,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-TM4SF1 ADC,TM4SF1; Tetraspanin-like protein; Highly expressed on the plasma membranes of many human cancer cells; Also expressed on the endothelial cells lining tumor blood vessels.,Anti-TM4SF1 ADC,"The Center for Vascular Biology Research and the Departments of  Angiex; Pfizer; Pathology, Beth Israel Deaconess Medical Center (BIDMC); Harvard Medical School, Boston, Massachusetts",Oncology,"Solid Cancer; Non-small cell lung cancer; Pancreatic Cancer; Prostate Cancer,  Colon Cancers. ",Proof-of-concept; Preclinical,"An anti-human TM4SF1 monoclonal antibody, v1.10",,An auristatin cytotoxic agent LP2 (chemical name mc-3377),,,,,,Humanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-cMET ADC (CBT-161),cMET; Also called tyrosine-protein kinase Met and hepatocyte growth factor receptor (HGFR),CBT-161; Anti-cMET ADC,Sorrento Therapeutics ,Oncology,,IND filing expected in 2017/2018,,,"Proprietary tubulin-binding, DNA alkylation and other cytotoxic agents",,,,,,,,Site-specific conjugation technology to provide homogeneous products being developed by Concortis  Biotherapeutics: K-Lock™ and C-Lock,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-endosialin-MC-VC-PABC-MMAE,"CD248; also known as Endosialin, a member of a novel family of C-type lectin transmembrane receptors which play a role in cell–cell adhesion and host defence. CD248 is expressed in the cell surface of tumor-associated stroma cells, as well as in sarcoma and neuroblastoma cells.",Anti-endosialin-MC-VC-PABC-MMAE ,Genzyme,Oncology,Neuroblastoma;  Ewing sarcoma,Preclinical,Anti-endosialin,A maleimidocaproyl-valine-citrulline linker with a p-aminobenzylcarbamate spacer,Monomethyl auristatin E (MMAE)  Drug-to-antibody ratio: 3 - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprutumab ixadotin | BAY 1187982,"FGFR2 (fibroblast growth factor receptor 2, | bacteria-expressed kinase (BEK) | Craniofacial dysostosis 1 (CFD1)| Jackson-Weiss syndrome (JWS) | Keratinocyte growth factor receptor (KGFR); Crouzon syndrome (CEK3) | ECT1 K-SAM | TK14 | TK25 | CD332.",BAY 1187982 BAY1187982 FGFR2-ADC,Bayer HealthCare Pharmaceuticals,Oncology,Solid tumors (overexpressing FGFR2),Phase I | Terminated,IgG1 - lambda (a fully human anti-FGFR2 antibody BAY 1179470),A noncleavable linker  An average of 4 lysyl,Auristatin W derivative   on an average of 4 lysyl,Type-2 fibroblast growth factor receptor antagonists ,"Phase-I clinical trial (NCT02368951)  in solid tumors,  (Late-stage disease, Second-line therapy or greater), terminated. ",,,,Human | Homo sapiens,,,Aprutumab ixadotin,115 | 2016,10383,77 | 2017,1708947-48-1,UNII-DDD2AB5TWK,CHO (Chinese Hamster Ovary) cells,C57-H95-N9-O11,1082.4295,,,,,,,,,,,,,,,,,
Azintuxizumab Vedotin | ABBV-838,"SLAMF7 (SLAM family member 7, CD2 subset 1, CS1, CD2-like receptor-activating cytotoxic cells, CRACC, 19A24, CD319) ",ABBV-838 ABBV838,AbbVie,Oncology / Hematology,Multiple myeloma (MM) |  Plasma cell myeloma,Phase I,,A cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker.   On an average of 3 cysteinyl,Monomethyl auristatin E (MMAE),A cathepsin-cleavable linker  CD319 antigen inhibitors  ,"In June 2017 AbbVie decides to terminate a phase-I/Ib trial in Multiple myeloma (NCT02462525; Dose-Escalation Study of ABBV-838, an Antibody Drug Conjugate, in Subjects With Relapsed and Refractory Multiple Myeloma). The trial was being conducted in USA, France, Germany, and Spain.  Also in June 2017, AbbVie withdraws, prior to enrollment, a phase Ib trial for Multiple myeloma (NCT02951117; A Study of Venetoclax and ABBV-838 Combination Therapy With Dexamethasone in Participants With Multiple Myeloma Whose Cancer Has Come Back or Had No Response to Recent Cancer Treatment) in Australia.",,"A Study of Venetoclax and ABBV-838 Combination Therapy With Dexamethasone in Participants With Multiple Myeloma Whose Cancer Has Come Back or Had No Response to Recent Cancer Treatment - NCT02951117  Dose-Escalation Study of ABBV-838, an Antibody Drug Conjugate, in Subjects With Relapsed and Refractory Multiple Myeloma - NCT02462525","Immunoglobulin G1, anti-(human CD319 antigen) (human-mus musculus monoclonal PR-1471272 heavy chain), disulfide with human-mus musculus monoclonal PR-1471272 light chain, dimer, bis(thioether) with N-(((4-((N-(6-(3-mercapto-2,5-dioxo-1-pyrrolidinyl)-",Chimeric Humanized,,,Azintuxizumab vedotin,116 | 2016,10499,78 | 2017,1826819-58-2 ,6XQ9TM3U2G ,CHO (Chinese Hamster Ovary) cells,,,,,,,,,,,,,,,,,,,
Azonafide-ADC,Undisclosed,,Oncolinx,Oncology,,Preclinical,,,"Azonafide (2-[2′-(dimethylamino)ethyl]-1,2-dihydro-3H-dibenz[de, h]isoquinoline-1,3-dione) is the parent of a new series of anthracene-containing antitumor agents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
